"product_tmpl_id/id";"name";"id";"attribute_id/id";"value_ids/id"
producto_100120;Apple - iPhone 8+ 128;producto_100120_atribute_line_01;product_attribute_01;product_attribute_value_01_01,product_attribute_value_01_03,product_attribute_value_01_05
producto_100122;Apple - iPhone 11 64Gb;producto_100122_atribute_line_01;product_attribute_01;product_attribute_value_01_01,product_attribute_value_01_04,product_attribute_value_01_09,product_attribute_value_01_10,product_attribute_value_01_07,product_attribute_value_01_06,product_attribute_value_01_11
producto_100123;Apple - iPhone 11 128Gb;producto_100123_atribute_line_01;product_attribute_01;product_attribute_value_01_01,product_attribute_value_01_04,product_attribute_value_01_09,product_attribute_value_01_10,product_attribute_value_01_07,product_attribute_value_01_06,product_attribute_value_01_11
producto_100124;Apple - iPhone 11 Pro 64GB;producto_100124_atribute_line_01;product_attribute_01;product_attribute_value_01_01,product_attribute_value_01_03,product_attribute_value_01_05,product_attribute_value_01_10
producto_100125;Apple - iPhone 11 Pro 256GB;producto_100125_atribute_line_01;product_attribute_01;product_attribute_value_01_01,product_attribute_value_01_03,product_attribute_value_01_05,product_attribute_value_01_10
producto_100126;Apple - iPhone 11 Pro Max 64GB;producto_100126_atribute_line_01;product_attribute_01;product_attribute_value_01_01,product_attribute_value_01_03,product_attribute_value_01_05,product_attribute_value_01_10
producto_100127;Apple - iPhone 11 Pro Max 256GB;producto_100127_atribute_line_01;product_attribute_01;product_attribute_value_01_01,product_attribute_value_01_03,product_attribute_value_01_05,product_attribute_value_01_10
producto_100200;Apple - iPhone SE 2 64GB;producto_100200_atribute_line_01;product_attribute_01;product_attribute_value_01_01,product_attribute_value_01_04,product_attribute_value_01_09
producto_100201;Apple - iPhone SE 2 128GB;producto_100201_atribute_line_01;product_attribute_01;product_attribute_value_01_01,product_attribute_value_01_04,product_attribute_value_01_09
producto_100129;Samsung - Galaxy A01 16GB;producto_100129_atribute_line_01;product_attribute_01;product_attribute_value_01_01,product_attribute_value_01_06,product_attribute_value_01_09
producto_100202;Samsung - Galaxy A01 32GB;producto_100202_atribute_line_01;product_attribute_01;product_attribute_value_01_01,product_attribute_value_01_06,product_attribute_value_01_09
producto_100130;Samsung - Galaxy A10s;producto_100130_atribute_line_01;product_attribute_01;product_attribute_value_01_01,product_attribute_value_01_06,product_attribute_value_01_09
producto_100203;Samsung - Galaxy A11 32GB;producto_100203_atribute_line_01;product_attribute_01;product_attribute_value_01_01,product_attribute_value_01_04,product_attribute_value_01_06,product_attribute_value_01_09
producto_100131;Samsung - Galaxy A20s;producto_100131_atribute_line_01;product_attribute_01;product_attribute_value_01_01,product_attribute_value_01_06,product_attribute_value_01_09
producto_100204;Samsung - Galaxy A21s 32GB;producto_100204_atribute_line_01;product_attribute_01;product_attribute_value_01_01,product_attribute_value_01_04,product_attribute_value_01_06,product_attribute_value_01_09
producto_100218;Samsung - Galaxy A21s 64GB;producto_100218_atribute_line_01;product_attribute_01;product_attribute_value_01_01,product_attribute_value_01_04,product_attribute_value_01_06,product_attribute_value_01_09
producto_100205;Samsung - Galaxy A31 64GB;producto_100205_atribute_line_01;product_attribute_01;product_attribute_value_01_01,product_attribute_value_01_04,product_attribute_value_01_06,product_attribute_value_01_09
producto_100206;Samsung - Galaxy A31 128GB;producto_100206_atribute_line_01;product_attribute_01;product_attribute_value_01_01,product_attribute_value_01_04,product_attribute_value_01_06,product_attribute_value_01_09
producto_100133;Samsung - Galaxy A51;producto_100133_atribute_line_01;product_attribute_01;product_attribute_value_01_01,product_attribute_value_01_04,product_attribute_value_01_06
producto_100135;Samsung - Galaxy A71;producto_100135_atribute_line_01;product_attribute_01;product_attribute_value_01_01,product_attribute_value_01_04,product_attribute_value_01_06
producto_100199;Huawei - Y5 2019 32GB;producto_100199_atribute_line_01;product_attribute_01;product_attribute_value_01_01,product_attribute_value_01_06
producto_100143;Huawei - Y6 2019;producto_100143_atribute_line_01;product_attribute_01;product_attribute_value_01_01,product_attribute_value_01_06
producto_100145;Huawei - Y9 Prime 64GB;producto_100145_atribute_line_01;product_attribute_01;product_attribute_value_01_01,product_attribute_value_01_06,product_attribute_value_01_10
producto_100208;Huawei - Y9 Prime 128GB;producto_100208_atribute_line_01;product_attribute_01;product_attribute_value_01_01,product_attribute_value_01_06,product_attribute_value_01_10
producto_100207;Huawei - Y9s 128GB;producto_100207_atribute_line_01;product_attribute_01;product_attribute_value_01_01,product_attribute_value_01_06
producto_100146;Huawei - P30 Lite 128GB;producto_100146_atribute_line_01;product_attribute_01;product_attribute_value_01_01,product_attribute_value_01_04,product_attribute_value_01_06
producto_100209;Huawei - P40 Lite 128GB;producto_100209_atribute_line_01;product_attribute_01;product_attribute_value_01_01,product_attribute_value_01_04,product_attribute_value_01_10
producto_100147;Xiaomi - Remi 8A 32GB;producto_100147_atribute_line_01;product_attribute_01;product_attribute_value_01_01,product_attribute_value_01_06,product_attribute_value_01_09
producto_100149;Xiaomi - Redmi Note 8 64GB;producto_100149_atribute_line_01;product_attribute_01;product_attribute_value_01_01,product_attribute_value_01_04,product_attribute_value_01_06,product_attribute_value_01_10
producto_100150;Xiaomi - Redmi Note 8 128GB;producto_100150_atribute_line_01;product_attribute_01;product_attribute_value_01_01,product_attribute_value_01_04,product_attribute_value_01_06,product_attribute_value_01_10
producto_100151;Xiaomi - Redmi Note 8 Pro 64GB;producto_100151_atribute_line_01;product_attribute_01;product_attribute_value_01_01,product_attribute_value_01_04,product_attribute_value_01_06,product_attribute_value_01_10
producto_100152;Xiaomi - Redmi Note 8 Pro 128GB;producto_100152_atribute_line_01;product_attribute_01;product_attribute_value_01_01,product_attribute_value_01_04,product_attribute_value_01_06,product_attribute_value_01_10
producto_100210;Xiaomi - Redmi Note 9 64GB;producto_100210_atribute_line_01;product_attribute_01;product_attribute_value_01_01,product_attribute_value_01_04,product_attribute_value_01_06,product_attribute_value_01_10
producto_100211;Xiaomi - Redmi Note 9 128GB;producto_100211_atribute_line_01;product_attribute_01;product_attribute_value_01_01,product_attribute_value_01_04,product_attribute_value_01_06,product_attribute_value_01_10
producto_100212;Xiaomi - Redmi Note 9s 64GB;producto_100212_atribute_line_01;product_attribute_01;product_attribute_value_01_01,product_attribute_value_01_04,product_attribute_value_01_06,product_attribute_value_01_10
producto_100213;Xiaomi - Redmi Note 9s 128GB;producto_100213_atribute_line_01;product_attribute_01;product_attribute_value_01_01,product_attribute_value_01_04,product_attribute_value_01_06,product_attribute_value_01_10
producto_100214;Xiaomi - Redmi Note 9 Pro 64GB;producto_100214_atribute_line_01;product_attribute_01;product_attribute_value_01_01,product_attribute_value_01_04,product_attribute_value_01_06,product_attribute_value_01_10
producto_100215;Xiaomi - Redmi Note 9 Pro 128GB;producto_100215_atribute_line_01;product_attribute_01;product_attribute_value_01_01,product_attribute_value_01_04,product_attribute_value_01_06,product_attribute_value_01_10
producto_100216;Xiaomi - Redmi Note 10 128GB;producto_100216_atribute_line_01;product_attribute_01;product_attribute_value_01_01,product_attribute_value_01_04,product_attribute_value_01_09
producto_100217;Xiaomi - Redmi Note 10 Lite 128GB;producto_100217_atribute_line_01;product_attribute_01;product_attribute_value_01_01,product_attribute_value_01_04,product_attribute_value_01_09
producto_200523;Epson - Tinta T504 para Impresora;producto_200523_atribute_line_01;product_attribute_01;product_attribute_value_01_01,product_attribute_value_01_11,product_attribute_value_01_12,product_attribute_value_01_13
producto_200527;Epson - Tinta T664 para Impresora;producto_200527_atribute_line_01;product_attribute_01;product_attribute_value_01_01,product_attribute_value_01_11,product_attribute_value_01_12,product_attribute_value_01_13
producto_200718;Epson - Tinta T544 para Impresora;producto_200718_atribute_line_01;product_attribute_01;product_attribute_value_01_01,product_attribute_value_01_11,product_attribute_value_01_12,product_attribute_value_01_13
producto_200729;Marvo - Silla Gaming;producto_200729_atribute_line_01;product_attribute_01;product_attribute_value_01_01,product_attribute_value_01_06,product_attribute_value_01_09
producto_200458;Havit - Silla Gaming;producto_200458_atribute_line_01;product_attribute_01;product_attribute_value_01_01,product_attribute_value_01_06,product_attribute_value_01_09
